timestamp,value,anomalous
1855-05-06,17.0,False
1855-05-13,18.642857142857142,False
1855-05-20,16.571428571428573,False
1855-05-27,14.700000000000001,False
1855-06-03,14.971428571428572,False
1855-06-10,14.742857142857144,False
1855-06-17,12.271428571428572,False
1855-06-24,13.928571428571429,False
1855-07-01,13.742857142857144,False
1855-07-08,13.914285714285715,False
1855-07-15,53.72857142857143,True
1855-07-22,12.142857142857142,False
1855-07-29,12.214285714285714,False
1855-08-05,13.414285714285715,False
1855-08-12,13.857142857142858,False
1855-08-19,16.97142857142857,False
1855-08-26,15.814285714285715,False
1855-09-02,13.842857142857143,False
1855-09-09,16.585714285714285,False
1855-09-16,17.114285714285714,False
1855-09-23,15.12857142857143,False
1855-09-30,18.857142857142858,False
1855-10-07,16.885714285714283,False
1855-10-14,18.67142857142857,False
1855-10-21,18.2,False
1855-10-28,23.085714285714285,False
1855-11-04,22.485714285714288,False
1855-11-11,20.728571428571428,False
1855-11-18,17.571428571428573,False
1855-11-25,25.87142857142857,False
1855-12-02,23.214285714285715,False
1855-12-09,21.74285714285714,False
1855-12-16,24.97142857142857,False
1855-12-23,19.614285714285717,False
1855-12-30,25.085714285714285,False
1856-01-06,27.271428571428572,False
1856-01-13,22.657142857142855,False
1856-01-20,25.514285714285712,False
1856-01-27,80.13714285714286,True
1856-02-03,22.557142857142857,False
1856-02-10,26.728571428571428,False
1856-02-17,24.428571428571427,False
1856-02-24,23.7,False
1856-03-02,26.557142857142857,False
1856-03-09,27.12857142857143,False
1856-03-16,26.814285714285717,False
1856-03-23,24.542857142857144,False
1856-03-30,25.5,False
1856-04-06,25.414285714285715,False
1856-04-13,23.014285714285712,False
1856-04-20,17.785714285714285,False
1856-04-27,17.142857142857142,False
1856-05-04,16.728571428571428,False
1856-05-11,15.299999999999999,False
1856-05-18,14.414285714285715,False
1856-05-25,15.642857142857142,False
1856-06-01,15.271428571428572,False
1856-06-08,14.728571428571428,False
1856-06-15,12.585714285714285,False
1856-06-22,12.042857142857143,False
1856-06-29,13.985714285714286,False
1856-07-06,11.657142857142857,False
1856-07-13,9.557142857142859,False
1856-07-20,10.914285714285715,False
1856-07-27,12.357142857142858,False
1856-08-03,14.785714285714286,False
1856-08-10,11.214285714285714,False
1856-08-17,14.971428571428573,False
1856-08-24,14.057142857142859,False
1856-08-31,19.314285714285713,False
1856-09-07,15.528571428571428,False
1856-09-14,66.4057142857143,True
1856-09-21,16.97142857142857,False
1856-09-28,16.84285714285714,False
1856-10-05,18.04285714285714,False
1856-10-12,19.314285714285713,False
1856-10-19,17.6,False
1856-10-26,19.585714285714285,False
1856-11-02,18.514285714285712,False
1856-11-09,19.542857142857144,False
1856-11-16,17.214285714285715,False
1856-11-23,19.74285714285714,False
1856-11-30,21.599999999999998,False
1856-12-07,23.557142857142857,False
1856-12-14,16.62857142857143,False
1856-12-21,21.52857142857143,False
1856-12-28,24.685714285714287,False
1857-01-04,22.228571428571428,False
1857-01-11,22.985714285714288,False
1857-01-18,23.757142857142856,False
1857-01-25,22.985714285714288,False
1857-02-01,28.485714285714288,False
1857-02-08,30.085714285714285,False
1857-02-15,24.185714285714287,False
1857-02-22,29.02857142857143,False
1857-03-01,29.74285714285714,False
1857-03-08,24.371428571428574,False
1857-03-15,21.74285714285714,False
1857-03-22,22.957142857142856,False
1857-03-29,22.071428571428573,False
1857-04-05,19.542857142857144,False
1857-04-12,19.357142857142858,False
1857-04-19,20.314285714285713,False
1857-04-26,24.47142857142857,False
1857-05-03,18.47142857142857,False
1857-05-10,13.414285714285715,False
1857-05-17,17.257142857142856,False
1857-05-24,14.742857142857144,False
1857-05-31,14.214285714285714,False
1857-06-07,12.814285714285715,False
1857-06-14,14.414285714285715,False
1857-06-21,12.5,False
1857-06-28,13.071428571428571,False
1857-07-05,12.5,False
1857-07-12,13.457142857142857,False
1857-07-19,14.142857142857142,False
1857-07-26,13.814285714285715,False
1857-08-02,15.6,False
1857-08-09,15.842857142857143,False
1857-08-16,15.842857142857142,False
1857-08-23,15.957142857142857,False
1857-08-30,14.885714285714286,False
1857-09-06,60.59428571428572,True
1857-09-13,15.571428571428571,False
1857-09-20,16.914285714285715,False
1857-09-27,19.157142857142855,False
1857-10-04,17.62857142857143,False
1857-10-11,18.814285714285713,False
1857-10-18,20.085714285714285,False
1857-10-25,18.37142857142857,False
1857-11-01,18.97142857142857,False
1857-11-08,19.185714285714287,False
1857-11-15,22.714285714285715,False
1857-11-22,21.014285714285712,False
1857-11-29,21.414285714285715,False
1857-12-06,23.914285714285715,False
1857-12-13,28.47142857142857,False
1857-12-20,30.614285714285717,False
1857-12-27,28.214285714285715,False
1858-01-03,24.02857142857143,False
1858-01-10,31.942857142857147,False
1858-01-17,26.614285714285717,False
1858-01-24,25.014285714285712,False
1858-01-31,34.68571428571429,False
1858-02-07,20.571428571428573,False
1858-02-14,28.271428571428572,False
1858-02-21,30.785714285714285,False
1858-02-28,25.042857142857144,False
1858-03-07,27.2,False
1858-03-14,27.414285714285715,False
1858-03-21,25.2,False
1858-03-28,22.24285714285714,False
1858-04-04,23.47142857142857,False
1858-04-11,19.771428571428572,False
1858-04-18,20.52857142857143,False
1858-04-25,20.7,False
1858-05-02,18.74285714285714,False
1858-05-09,20.32857142857143,False
1858-05-16,63.44857142857143,True
1858-05-23,14.971428571428572,False
1858-05-30,14.457142857142857,False
1858-06-06,14.428571428571429,False
1858-06-13,13.485714285714286,False
1858-06-20,14.9,False
1858-06-27,13.37142857142857,False
1858-07-04,11.4,False
1858-07-11,12.314285714285715,False
